"","id","clust"
"588",24055,2
"589",23444,2
"590",22402,1
"591",21476,3
"592",21115,3
"593",20886,2
"594",19258,3
"595",19059,4
"596",18132,2
"597",17869,1
"598",17868,2
"599",17830,2
"600",16937,2
"601",16657,2
"602",16640,1
"603",16639,2
"604",16638,1
"605",16478,1
"606",16245,2
"607",16244,1
"608",16243,2
"609",16099,2
"610",15833,2
"611",15802,2
"612",15697,4
"613",14990,2
"614",14905,2
"615",14553,2
"616",13929,1
"617",13222,2
"618",11811,1
"619",11646,2
"620",11488,1
"621",11263,3
"622",11136,2
"623",11005,2
"624",10829,3
"625",10524,1
"626",10498,2
"627",10425,2
"628",10404,1
"629",10091,1
"630",10083,1
"631",9999,2
"632",9995,2
"633",9976,2
"634",9737,5
"635",9446,1
"636",9200,1
"637",9182,1
"638",9180,1
"639",8971,1
"640",8952,1
"641",7369,2
"642",8761,2
"643",8708,1
"644",8571,2
"645",8508,1
"646",8429,2
"647",8290,4
"648",8278,1
"649",8146,2
"650",8141,2
"651",8092,2
"652",6891,2
"653",8057,2
"654",7798,4
"655",7519,2
"656",7502,2
"657",7412,2
"658",7353,2
"659",7260,1
"660",7215,3
"661",7186,2
"662",7185,2
"663",7012,2
"664",6699,1
"665",6667,3
"666",6660,1
"667",6641,2
"668",6574,2
"669",6536,2
"670",6523,2
"671",5842,2
"672",6515,3
"673",6421,3
"674",6405,1
"675",6376,2
"676",4907,2
"677",6303,1
"678",6283,1
"679",6097,2
"680",6095,1
"681",5917,2
"682",5779,2
"683",5706,3
"684",5703,2
"685",5608,1
"686",5599,2
"687",5582,3
"688",5482,1
"689",5448,2
"690",5444,2
"691",5423,1
"692",5420,2
"693",5398,2
"694",5352,3
"695",5304,2
"696",5287,2
"697",5284,2
"698",5207,2
"699",5098,3
"700",4940,2
"701",4938,4
"702",4908,1
"703",4900,2
"704",4852,2
"705",4848,1
"706",4846,2
"707",4794,1
"708",4792,1
"709",4844,2
"710",4843,2
"711",4836,2
"712",4823,2
"713",4785,2
"714",4782,4
"715",4767,2
"716",4655,2
"717",4603,1
"718",4598,1
"719",4594,2
"720",4566,2
"721",4556,1
"722",4519,2
"723",4484,2
"724",762,1
"725",4471,2
"726",4464,2
"727",4396,3
"728",4378,1
"729",4350,1
"730",4310,1
"731",4307,2
"732",4271,2
"733",4232,2
"734",4231,2
"735",4161,2
"736",4143,1
"737",4113,2
"738",4087,2
"739",3944,2
"740",3938,2
"741",3623,2
"742",3616,2
"743",3606,2
"744",3598,4
"745",3594,3
"746",3554,2
"747",3538,2
"748",3487,2
"749",3468,1
"750",3410,2
"751",3356,2
"752",3352,2
"753",3346,1
"754",3320,2
"755",3278,2
"756",3248,2
"757",3209,1
"758",2119,1
"759",3206,2
"760",3203,2
"761",3191,3
"762",3179,2
"763",3174,1
"764",3157,2
"765",3145,2
"766",3141,1
"767",3128,1
"768",1676,2
"769",3094,2
"770",3089,1
"771",3078,2
"772",3066,2
"773",2614,1
"774",3039,2
"775",3016,1
"776",3011,2
"777",3005,1
"778",2982,2
"779",2911,1
"780",2831,2
"781",2795,2
"782",2757,2
"783",2621,2
"784",2223,2
"785",2215,1
"786",2586,2
"787",2557,2
"788",2552,2
"789",2542,3
"790",2480,3
"791",2472,1
"792",2376,2
"793",2347,1
"794",2341,1
"795",2336,2
"796",2333,2
"797",2285,2
"798",2213,1
"799",2202,1
"800",2174,2
"801",2152,2
"802",1591,2
"803",2096,2
"804",2054,1
"805",2041,2
"806",2030,2
"807",2009,2
"808",1911,2
"809",1888,2
"810",1884,1
"811",1878,2
"812",1838,4
"813",1818,1
"814",1799,2
"815",1587,2
"816",1571,2
"817",1780,2
"818",1753,2
"819",1725,2
"820",1677,2
"821",1655,3
"822",1613,2
"823",1612,2
"824",1611,2
"825",1565,3
"826",1564,1
"827",1497,2
"828",1480,2
"829",1452,2
"830",1403,1
"831",1383,5
"832",1378,1
"833",1296,1
"834",1271,2
"835",1240,1
"836",1233,2
"837",1232,2
"838",1142,1
"839",1128,2
"840",1127,1
"841",1039,2
"842",957,1
"843",951,1
"844",902,2
"845",749,2
"846",738,1
"847",736,2
"848",735,1
"849",734,2
"850",733,1
"851",724,2
"852",720,2
"853",716,1
"854",714,2
"855",711,1
"856",702,2
"857",693,2
"858",549,2
"859",672,3
"860",657,2
"861",650,1
"862",578,1
"863",575,1
"864",567,1
"865",566,5
"866",551,1
"867",548,2
"868",524,2
"869",518,1
"870",512,2
"871",497,2
"872",459,1
"873",458,1
"874",457,1
"875",439,5
"876",432,1
"877",431,2
"878",419,1
"879",401,1
"880",326,1
"881",253,2
"882",217,2
"883",208,2
"884",191,2
"885",187,2
"886",156,2
"887",155,1
"888",154,2
"889",153,2
"890",150,3
"891",149,2
"892",146,2
"893",144,2
"894",132,2
"895",131,3
"896",129,2
"897",127,2
"898",126,2
"899",125,2
"900",117,2
"901",104,1
"902",95,1
"903",94,1
"904",91,1
"905",88,1
"906",85,3
"907",84,1
"908",83,3
"909",82,1
"910",81,2
"911",76,1
"912",75,2
"913",73,1
"914",70,1
"915",67,2
"916",63,2
"917",60,2
"918",51,2
"919",7,2
"920",62912,2
"921",71392,2
"922",69755,2
"923",68432,2
"924",67245,2
"925",64243,2
"926",50277,2
"927",70411,2
"928",68562,2
"929",63274,2
"930",71738,2
"931",67117,2
"932",66683,1
"933",64968,2
"934",63709,2
"935",55971,2
"936",60621,1
"937",72003,2
"938",66874,2
"939",66848,2
"940",66101,2
"941",56495,4
"942",69694,2
