Feature,Discription
id,ID Курса
title,Название курса
is_certificate_issued,Предоставляется ли сертификат об окончании
description,Описание курса
authors,Автор курса
schedule_type,Можно ли сразу начать курс или начало запланировано
learners_count,Количество участников
quizzes_count,Количество заданий
time_to_complete,Количество времени на выполнение
language,Язык курса
target_audience,Целевая аудитрия
is_paid,Платный или беспланый курс
